OBJECTID,NAME,ADDRESS,AREA_CODE,PHONE,SUITE,ST_NUM,PREFIX,STREET,CLASS,ID,X,Y,FIRE_ID,ZIP_ID,TYPE,SUFFIX,EDITOR,EDIT_DATE,STATE,CITY_ID,POLICE_ID_RMS,EXCLUDE,GLOBALID,SUBCLASS
4147,WINN-DIXIE,111 S MAGNOLIA DR,,656-2219,#39,111,S,MAGNOLIA,COM,8105,-84.2599612,30.4410942,600,32301,DR,,PENCEP,10/1/2014 0:00,FL,TALLAHASSEE,5,,{9EAD9602-3F72-4231-9D93-79E2FA9A9E8A},519
4148,PLANET FITNESS,110 E PAUL RUSSELL RD,,,,110,E,PAUL RUSSELL,COM,8107,-84.28233922,30.40636359,301,32301,RD,,PENCEP,9/21/2018 0:00,FL,TALLAHASSEE,11,,{4C6A0DF5-1036-43DB-8327-7B791DC39400},141
4149,WINNIES ALTERATION,1012 S MAGNOLIA DR,,656-5567,,1012,S,MAGNOLIA,COM,8109,-84.26218196,30.43481538,101,32308,DR,,PENCEP,,FL,TALLAHASSEE,7,,{AB1C0C3F-A156-42F6-BC2F-A8E0230B0848},529
4150,BUD BELL EARLY LEARNING CENTER,306 LAURA LEE AVE,,656-8100,,306,,LAURA LEE,DAY,8789,-84.27835187,30.40906722,301,32301,AVE,,PENCEP,6/6/2019 0:00,FL,TALLAHASSEE,7,,{34FC3861-2AAF-4C13-BE9B-C40ABA8AD5B2},254
4151,JOY LUCK PLACE RESTAURANT,1002 N MONROE ST,,222-1115,,1002,N,MONROE,RST,8790,-84.28109846,30.45269477,109,32303,ST,,PENCEP,12/15/2015 0:00,FL,TALLAHASSEE,15,,{46982486-1331-4511-8E33-D82AB88EA768},161
4152,BLUE STREAK,231 PALMER AVE E,,,#02,231,,PALMER,COM,8794,-84.2795634,30.42667073,301,32301,AVE,E,PENCEP,8/11/2017 0:00,FL,TALLAHASSEE,7,,{E59F87D9-07CB-47A2-BE5F-3F63BAEB0A55},
4153,REGIONS BANK,2000 CAPITAL CIR NE,,833-8219,,2000,,CAPITAL ,BNK,8795,-84.23773342,30.47884736,901,32308,CIR,NE,PENCEP,,FL,TALLAHASSEE,4,,{F881CAEE-89CD-4E9A-9176-CB6DBD6F952E},592
4154,NOOK APTS,818 ARKANSAS ST,,,,818,,ARKANSAS,AC,8796,-84.31073829,30.45357653,108,32304,ST,,PENCEP,,FL,TALLAHASSEE,16,,{4CFE63FD-349B-4A64-837E-D598032C7DEA},429
4155,GOLDEN CORRAL RESTAURANT,1630 N MONROE ST,,224-4363,,1630,N,MONROE,RST,3439,-84.28177776,30.46033854,109,32303,ST,,PENCEP,,FL,TALLAHASSEE,19,,{02CA7852-0B17-4141-BAD8-29A9C451F8AA},161
4156,BILLS BOOKSTORE,111 S COPELAND ST,,224-3178,,111,S,COPELAND,COM,8798,-84.29057317,30.44129097,105,32301,ST,,PENCEP,,FL,TALLAHASSEE,15,,{64FD2A7D-2AE8-4F71-91A7-961BBDEAA01B},549
